SWW/SWW363+1.p, no scope finishes in time range,3, v3si,117.32, Unsat, v4si,95.98, Unsat,,,
ALG/ALG125+1.p, Unsat,200, v3si,259.76, Unsat, v4si,187.76, Unsat,,,
SWV/SWV395+1.p, Unsat,11, v3si,200.41, Unsat, v4si,429.23, Unsat,,,
NUM/NUM750+4.p, no scope finishes in time range,5, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
GEO/GEO247+3.p, Unsat,45, v3si,987.3, Unsat, v4si,950.17, Unsat,,,
NUM/NUM594+1.p, no scope finishes in time range,7, v3si,1200, TIMEOUT, v4si,153.37, Unsat,,,
SWC/SWC367+1.p, Unsat,7, v3si,421.19, Unsat, v4si,424.15, Unsat,,,
SET/SET635+3.p, Unsat,19, v3si,463.46, Unsat, v4si,580.88, Unsat,,,
SEU/SEU134+2.p, no scope finishes in time range,15, v3si,54.38, Unsat, v4si,35.42, Unsat,,,
KLE/KLE091+1.p, no scope finishes in time range,11, v3si,1200, TIMEOUT, v4si,709.81, Unsat,,,
GEO/GEO479+1.p, Unsat,1, v3si,1023.89, Unsat, v4si,192.04, Unsat,,,
SWB/SWB012+3.p, Unsat,5, v3si,620.67, Unsat, v4si,196.76, Unsat,,,
SET/SET654+3.p, Unsat,17, v3si,403.77, Unsat, v4si,976.11, Unsat,,,
GRP/GRP659+1.p, no scope finishes in time range,9, v3si,12.19, Unsat, v4si,97.85, Unsat,,,
SWC/SWC354+1.p, Unsat,7, v3si,542.81, Unsat, v4si,547.36, Unsat,,,
NUM/NUM592+1.p, no scope finishes in time range,7, v3si,1200, TIMEOUT, v4si,160.4, Unsat,,,
NUM/NUM627+1.p, no scope finishes in time range,7, v3si,1200, TIMEOUT, v4si,137.59, Unsat,,,
ALG/ALG152+1.p, Unsat,261, v3si,208.16, Unsat, v4si,364.92, Unsat,,,
SET/SET681+3.p, Unsat,9, v3si,284.38, Unsat, v4si,219.71, Unsat,,,
SWW/SWW958+1.p, no scope finishes in time range,20, v3si,7.13, Unsat, v4si,7.97, Unsat,,,
SYN/SYN411+1.p, Unsat,107, v3si,809.42, Unsat, v4si,868.32, Unsat,,,
NUM/NUM784+4.p, no scope finishes in time range,5, v3si,139.49, Unsat, v4si,50.89, Unsat,,,
ALG/ALG193+1.p, Unsat,261, v3si,315.37, Unsat, v4si,215.51, Unsat,,,
SWC/SWC412+1.p, Unsat,7, v3si,526.78, Unsat, v4si,469.68, Unsat,,,
SET/SET595+3.p, Unsat,9, v3si,789.59, Unsat, v4si,856.07, Unsat,,,
TOP/TOP032+2.p, Unsat,4, v3si,623.01, Unsat, v4si,474.9, Unsat,,,
GRP/GRP625+3.p, no scope finishes in time range,0, v3si,1200, TIMEOUT, v4si,627.64, Unsat,,,
SEU/SEU448+3.p, no scope finishes in time range,0, v3si,1200, StackOverflowError, v4si,1200, StackOverflowError,,,
REL/REL050+2.p, Unsat,13, v3si,206.58, Unsat, v4si,859.35, Unsat,,,
LAT/LAT321+2.p, Unsat,3, v3si,783.06, Unsat, v4si,907.32, Unsat,,,
SYN/SYN498+1.p, no scope finishes in time range,1001, v3si,12.92, Unsat, v4si,13.86, Unsat,,,
GEO/GEO611+1.p, no scope finishes in time range,0, v3si,1200, NONZEROCODE, v4si,1200, NONZEROCODE,,,
SWC/SWC375+1.p, Unsat,11, v3si,398.07, Unsat, v4si,399.73, Unsat,,,
SEU/SEU213+3.p, no scope finishes in time range,7, v3si,107.46, Unsat, v4si,269.06, Unsat,,,
NUM/NUM618+1.p, no scope finishes in time range,7, v3si,1200, TIMEOUT, v4si,282.18, Unsat,,,
SEU/SEU081+1.p, no scope finishes in time range,7, v3si,1200, TIMEOUT, v4si,1067.18, Unsat,,,
GEO/GEO640+1.p, no scope finishes in time range,0, v3si,1200, NONZEROCODE, v4si,1200, NONZEROCODE,,,
SYN/SYN041+1.p, no scope finishes in time range,1001, v3si,0.87, Unsat, v4si,0.87, Unsat,,,
HWV/HWV095+1.p, Unsat,30, v3si,257.71, Unsat, v4si,511.68, Unsat,,,
ALG/ALG104+1.p, Unsat,200, v3si,290.91, Unsat, v4si,187.47, Unsat,,,
