CSR/CSR172+1.p, not goal,3, v3si,395.23, Unsat, v4si,434.5, Unsat
SYN/SYN493+1.p, no scope finishes in time range,1001, v3si,2.11, Sat, v4si,2.26, Sat
SYO/SYO582+1.p, Sat,76, v3si,395.62, Sat, v4si,396.51, Sat
SYN/SYN523+1.p, Sat,508, v3si,421.01, Sat, v4si,420.93, Sat
NUM/NUM438+1.p, not goal,7, v3si,128.58, Unsat, v4si,101.59, Unsat
NLP/NLP182+1.p, not goal,3, v3si,14.63, Unsat, v4si,14.46, Unsat
SYO/SYO643+1.p, not goal,15, v3si,0.96, Unsat, v4si,0.95, Unsat
LCL/LCL667+1.001.p, no scope finishes in time range,1001, v3si,1.36, Sat, v4si,1.33, Sat
SWW/SWW969+1.p, not goal,7, v3si,14.16, Unsat, v4si,10.82, Unsat
SYN/SYN433+1.p, no scope finishes in time range,1001, v3si,4.7, Sat, v4si,5.01, Sat
NLP/NLP183+1.p, not goal,3, v3si,54.84, Unsat, v4si,56.35, Unsat
SWB/SWB031+4.p, Sat,23, v3si,714.58, Sat, v4si,700.35, Sat
COM/COM014+4.p, Sat,11, v3si,901.38, Sat, v4si,797.49, Sat
NLP/NLP036+1.p, Sat,7, v3si,1086.47, Sat, v4si,979.28, Sat
SYN/SYN544+1.p, Sat,138, v3si,361.25, Sat, v4si,319.85, Sat
CSR/CSR198+1.p, not goal,3, v3si,330.96, Unsat, v4si,342.63, Unsat
NLP/NLP221+1.p, Sat,4, v3si,282.52, Sat, v4si,280.66, Sat
NLP/NLP104+1.p, Sat,26, v3si,508.06, Sat, v4si,616.86, Sat
LCL/LCL675+1.005.p, not goal,7, v3si,1.24, Unsat, v4si,1.3, Unsat
CSR/CSR175+1.p, not goal,3, v3si,352.34, Unsat, v4si,346.17, Unsat
SWB/SWB018+3.p, not goal,3, v3si,3.19, Unsat, v4si,2.91, Unsat
NLP/NLP023+1.p, Sat,15, v3si,337.73, Sat, v4si,338.67, Sat
SYO/SYO644+1.p, not goal,15, v3si,0.96, Unsat, v4si,0.97, Unsat
SWW/SWW856+1.p, no scope finishes in time range,7, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT
KRS/KRS054+1.p, no scope finishes in time range,1001, v3si,3.12, Sat, v4si,3.17, Sat
SYO/SYO738+1.p, not goal,15, v3si,2.75, Unsat, v4si,3.41, Unsat
KRS/KRS176+1.p, Sat,15, v3si,884.83, Sat, v4si,878.02, Sat
SWW/SWW103+1.p, Sat,11, v3si,282.26, Sat, v4si,383.04, Sat
LCL/LCL651+1.020.p, not goal,1, v3si,3.31, Unsat, v4si,3.29, Unsat
HWV/HWV054+1.p, not goal,1, v3si,24.34, Unsat, v4si,7.3, Unsat
SYO/SYO735+1.p, not goal,15, v3si,223.61, Unsat, v4si,15.47, Unsat
KRS/KRS282+1.p, not goal,1, v3si,1200, StackOverflowError, v4si,31.31, Unsat
SYO/SYO768+1.p, not goal,15, v3si,5.67, Unsat, v4si,3.03, Unsat
SWW/SWW902+1.p, Sat,4, v3si,736.74, Sat, v4si,242.72, Sat
SYO/SYO803+1.p, not goal,7, v3si,1.03, Unsat, v4si,1.04, Unsat
LCL/LCL677+1.020.p, Sat,11, v3si,828.27, Sat, v4si,840.97, Sat
PRD/PRD003+1.p, Sat,45, v3si,981.54, Sat, v4si,757.83, Sat
SYN/SYN494+1.p, no scope finishes in time range,1001, v3si,2.11, Sat, v4si,2.15, Sat
NLP/NLP166+1.p, Sat,4, v3si,505.64, Sat, v4si,630.56, Sat
NLP/NLP100+1.p, Sat,11, v3si,437.56, Sat, v4si,408.22, Sat
NLP/NLP029+1.p, no scope finishes in time range,7, v3si,36.1, Sat, v4si,34.31, Sat
NUM/NUM351+1.p, not goal,3, v3si,75.24, Unsat, v4si,56.79, Unsat
SYN/SYN534+1.p, Sat,323, v3si,231.38, Sat, v4si,242.53, Sat
NLP/NLP163+1.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT
SWW/SWW875+1.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT
SYN/SYN425+1.p, Sat,138, v3si,452.15, Sat, v4si,456.18, Sat
SWW/SWW936+1.p, no scope finishes in time range,7, v3si,58.37, Sat, v4si,68.32, Sat
PHI/PHI042+1.p, Sat,76, v3si,741.84, Sat, v4si,738, Sat
HWV/HWV080+1.p, not goal,1, v3si,107.28, Unsat, v4si,25.83, Unsat
NLP/NLP179+1.p, Sat,9, v3si,336.83, Sat, v4si,354.65, Sat
SYN/SYN453+1.p, no scope finishes in time range,1001, v3si,24.86, Sat, v4si,11.03, Sat
NLP/NLP003+1.p, Sat,34, v3si,765.94, Sat, v4si,826.03, Sat
SWW/SWW860+1.p, no scope finishes in time range,5, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT
SWV/SWV012+1.p, Sat,6, v3si,205.58, Sat, v4si,216.48, Sat
LCL/LCL647+1.001.p, Sat,76, v3si,711.07, Sat, v4si,423.13, Sat
SYO/SYO743+1.p, not goal,15, v3si,15.53, Unsat, v4si,8.97, Unsat
SYO/SYO640+1.p, Sat,30, v3si,221.68, Sat, v4si,219.05, Sat
KRS/KRS057+1.p, no scope finishes in time range,1001, v3si,18.34, Sat, v4si,17.29, Sat
HAL/HAL003+1.p, no scope finishes in time range,5, v3si,132.8, Sat, v4si,120.91, Sat
NUM/NUM357+1.p, not goal,3, v3si,75.28, Unsat, v4si,60.15, Unsat
SYN/SYN429+1.p, Sat,76, v3si,270.06, Sat, v4si,457.69, Sat
KRS/KRS025+1.p, no scope finishes in time range,1001, v3si,1.85, Sat, v4si,1.86, Sat
SYN/SYN524+1.p, Sat,385, v3si,483.02, Sat, v4si,481.49, Sat
LCL/LCL643+1.005.p, Sat,34, v3si,706.26, Sat, v4si,739.75, Sat
LCL/LCL659+1.010.p, Sat,4, v3si,545.53, Sat, v4si,546.38, Sat
SYN/SYN419+1.p, Sat,138, v3si,563.38, Sat, v4si,628.93, Sat
NLP/NLP248+1.p, Sat,10, v3si,317.41, Sat, v4si,273.92, Sat
NLP/NLP035+1.p, Sat,6, v3si,399.18, Sat, v4si,341.25, Sat
SWB/SWB020+4.p, Sat,23, v3si,710.84, Sat, v4si,711.65, Sat
NLP/NLP250+1.p, not goal,1, v3si,1.11, Unsat, v4si,1.15, Unsat
SWW/SWW861+1.p, not goal,1, v3si,1.12, Unsat, v4si,1.1, Unsat
HAL/HAL005+1.p, no scope finishes in time range,5, v3si,155.68, Sat, v4si,87.89, Sat
SYN/SYN344+1.p, Sat,38, v3si,439.9, Sat, v4si,435.68, Sat
NLP/NLP107+1.p, Sat,26, v3si,502.57, Sat, v4si,560.15, Sat
LCL/LCL657+1.010.p, not goal,3, v3si,228.44, Unsat, v4si,228.05, Unsat
SYN/SYN725+1.p, no scope finishes in time range,1001, v3si,1.38, Sat, v4si,1.35, Sat
NLP/NLP212+1.p, not goal,3, v3si,385.42, Unsat, v4si,373.8, Unsat
SWW/SWW918+1.p, Sat,4, v3si,268.29, Sat, v4si,671.21, Sat
SYO/SYO806+1.p, not goal,7, v3si,1.05, Unsat, v4si,1.04, Unsat
LCL/LCL665+1.001.p, Sat,76, v3si,289.31, Sat, v4si,256.39, Sat
LCL/LCL576+1.p, Sat,10, v3si,819.56, Sat, v4si,939, Sat
